countryterritoryCode,countriesAndTerritories,dateRep,cases,deaths
TGO,Togo,2020-12-14,30,0
TGO,Togo,2020-12-13,19,0
TGO,Togo,2020-12-12,20,0
TGO,Togo,2020-12-11,31,1
TGO,Togo,2020-12-10,19,0
TGO,Togo,2020-12-09,21,0
TGO,Togo,2020-12-08,16,0
TGO,Togo,2020-12-07,10,0
TGO,Togo,2020-12-06,34,0
TGO,Togo,2020-12-05,12,0
TGO,Togo,2020-12-04,25,0
TGO,Togo,2020-12-03,17,1
TGO,Togo,2020-12-02,23,0
TGO,Togo,2020-12-01,12,0
TGO,Togo,2020-11-30,16,0
TGO,Togo,2020-11-29,20,0
TGO,Togo,2020-11-28,22,0
TGO,Togo,2020-11-27,15,0
TGO,Togo,2020-11-26,17,0
TGO,Togo,2020-11-25,18,0
TGO,Togo,2020-11-24,11,0
TGO,Togo,2020-11-23,14,0
TGO,Togo,2020-11-22,33,0
TGO,Togo,2020-11-21,25,1
TGO,Togo,2020-11-20,19,0
TGO,Togo,2020-11-19,30,1
TGO,Togo,2020-11-18,29,1
TGO,Togo,2020-11-17,18,0
TGO,Togo,2020-11-16,24,0
TGO,Togo,2020-11-15,24,1
TGO,Togo,2020-11-14,22,0
TGO,Togo,2020-11-13,12,1
TGO,Togo,2020-11-12,35,2
TGO,Togo,2020-11-11,35,0
TGO,Togo,2020-11-10,7,0
TGO,Togo,2020-11-09,33,0
TGO,Togo,2020-11-08,23,0
TGO,Togo,2020-11-07,18,0
TGO,Togo,2020-11-06,36,0
TGO,Togo,2020-11-05,25,0
TGO,Togo,2020-11-04,17,0
TGO,Togo,2020-11-03,7,0
TGO,Togo,2020-11-02,26,0
TGO,Togo,2020-11-01,19,2
TGO,Togo,2020-10-31,16,0
TGO,Togo,2020-10-30,58,1
TGO,Togo,2020-10-29,9,0
TGO,Togo,2020-10-28,25,1
TGO,Togo,2020-10-27,4,1
TGO,Togo,2020-10-26,13,0
TGO,Togo,2020-10-25,25,0
TGO,Togo,2020-10-24,23,0
TGO,Togo,2020-10-23,19,1
TGO,Togo,2020-10-22,16,0
TGO,Togo,2020-10-21,33,0
TGO,Togo,2020-10-20,14,0
TGO,Togo,2020-10-19,8,0
TGO,Togo,2020-10-18,22,0
TGO,Togo,2020-10-17,31,0
TGO,Togo,2020-10-16,13,0
TGO,Togo,2020-10-15,11,1
TGO,Togo,2020-10-14,23,1
TGO,Togo,2020-10-13,9,0
TGO,Togo,2020-10-12,5,0
TGO,Togo,2020-10-11,14,0
TGO,Togo,2020-10-10,14,0
TGO,Togo,2020-10-09,9,0
TGO,Togo,2020-10-08,17,0
TGO,Togo,2020-10-07,17,1
TGO,Togo,2020-10-06,10,0
TGO,Togo,2020-10-05,14,0
TGO,Togo,2020-10-04,22,0
TGO,Togo,2020-10-03,9,0
TGO,Togo,2020-10-02,25,0
TGO,Togo,2020-10-01,25,0
TGO,Togo,2020-09-30,10,1
TGO,Togo,2020-09-29,6,1
TGO,Togo,2020-09-28,7,0
TGO,Togo,2020-09-27,14,2
TGO,Togo,2020-09-26,15,0
TGO,Togo,2020-09-25,6,3
TGO,Togo,2020-09-24,18,0
TGO,Togo,2020-09-23,14,0
